NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (km2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
DEF06,01053016,Brunsmark,Brunsmark,no,,,,,,,,,,,,,,,
DEF06,01053017,Brunstorf,Brunstorf,no,,,,,,,,,,,,,,,
DEF06,01053018,Buchholz,Buchholz,no,,,,,,,,,,,,,,,
DEF06,01053019,Buchhorst,Buchhorst,no,,,,,,,,,,,,,,,
DEF06,01053020,Büchen,Büchen,no,,,,,,,,,,,,,,,
DEF06,01053021,Dahmker,Dahmker,no,,,,,,,,,,,,,,,
DEF06,01053022,Dalldorf,Dalldorf,no,,,,,,,,,,,,,,,
DEF06,01053023,Dassendorf,Dassendorf,no,,,,,,,,,,,,,,,
DEF06,01053024,Düchelsdorf,Düchelsdorf,no,,,,,,,,,,,,,,,
DEF06,01053025,Duvensee,Duvensee,no,,,,,,,,,,,,,,,
DEF06,01053026,Einhaus,Einhaus,no,,,,,,,,,,,,,,,
DEF06,01053027,Elmenhorst,Elmenhorst,no,,,,,,,,,,,,,,,
DEF06,01053028,Escheburg,Escheburg,no,,,,,,,,,,,,,,,
DEF06,01053029,Fitzen,Fitzen,no,,,,,,,,,,,,,,,
DEF06,01053030,Fredeburg,Fredeburg,no,,,,,,,,,,,,,,,
DEF06,01053031,Fuhlenhagen,Fuhlenhagen,no,,,,,,,,,,,,,,,
DEF06,01053032,"Geesthacht, Stadt","Geesthacht, Stadt",no,,,,,,,,,,,,,,,
DEF06,01053033,Giesensdorf,Giesensdorf,no,,,,,,,,,,,,,,,
DEF06,01053034,Göldenitz,Göldenitz,no,,,,,,,,,,,,,,,
DEF06,01053035,Göttin,Göttin,no,,,,,,,,,,,,,,,
DEF06,01053036,Grabau,Grabau,no,,,,,,,,,,,,,,,
